Deletion,Run,Rho0,Rho1,Rho2,Rho3,Rho4,Rho5,Rho6
0,4999.5,0.0,0.0,0.0,36.0,36.0,12.0,24.0
1,4999.5,0.0,0.0,0.0,33.0,33.0,12.0,23.0
2,4999.5,0.0,0.0,0.0,30.263,30.134,11.9543,22.0
3,4999.5,0.0,0.0,0.011,27.7445,27.3893,11.8737,21.0
4,4999.5,0.0,0.0,0.0396,25.3991,24.7647,11.7489,20.0
5,4999.5,0.0,0.0,0.0823,23.2335,22.2935,11.5704,19.0
6,4999.5,0.0,0.0,0.1445,21.2113,19.9556,11.3604,18.0
7,4999.5,0.0,0.0,0.2093,19.3287,17.7907,11.0973,17.0
8,4999.5,0.0,0.0,0.28,17.5317,15.767,10.7903,16.0
9,4999.5,0.0,0.0,0.3475,15.8035,13.8952,10.4352,15.0
10,4999.5,0.0,0.0,0.4232,14.154,12.1869,10.0395,14.0
11,4999.5,0.0,0.0,0.4902,12.5714,10.6428,9.6085,13.0
12,4999.5,0.0,0.0003,0.5665,11.0537,9.2785,9.1312,12.0
13,4999.5,0.0,0.0011,0.634,9.583,8.0491,8.6182,11.0
14,4999.5,0.0,0.0032,0.7305,8.2042,6.9894,8.044,10.0
15,4999.5,0.0,0.0082,0.8359,6.8978,6.0703,7.433,9.0
16,4999.5,0.0,0.0228,0.9683,5.6798,5.2919,6.7789,8.0
17,4999.5,0.0004,0.0542,1.1085,4.5632,4.625,6.0824,7.0
18,4999.5,0.0033,0.1151,1.2306,3.6095,4.0338,5.3499,6.0
19,4999.5,0.0182,0.2237,1.2981,2.8562,3.5003,4.5631,5.0
20,4999.5,0.0773,0.3903,1.2875,2.2555,2.972,3.738,4.0
21,4999.5,0.2843,0.6484,1.2233,1.832,2.4185,2.8668,3.0
22,4999.5,0.8078,0.9371,1.1552,1.4923,1.786,1.9562,2.0
23,4999.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
